CO_TAZID,SUBAREAID,CO_FIPS,CO_NAME,MedInc
30109.0,1.0,3.0,BOX ELDER,119242.0
30110.0,1.0,3.0,BOX ELDER,96630.0
30111.0,1.0,3.0,BOX ELDER,96630.0
30112.0,1.0,3.0,BOX ELDER,96630.0
30113.0,1.0,3.0,BOX ELDER,96630.0
30114.0,1.0,3.0,BOX ELDER,107031.0
30116.0,1.0,3.0,BOX ELDER,96630.0
30118.0,1.0,3.0,BOX ELDER,107031.0
30121.0,1.0,3.0,BOX ELDER,96630.0
30122.0,1.0,3.0,BOX ELDER,107031.0
30124.0,1.0,3.0,BOX ELDER,96630.0
30125.0,1.0,3.0,BOX ELDER,96630.0
30126.0,1.0,3.0,BOX ELDER,107031.0
30127.0,1.0,3.0,BOX ELDER,96630.0
30128.0,1.0,3.0,BOX ELDER,96630.0
30129.0,1.0,3.0,BOX ELDER,96630.0
30130.0,1.0,3.0,BOX ELDER,107031.0
30131.0,1.0,3.0,BOX ELDER,107031.0
30132.0,1.0,3.0,BOX ELDER,107031.0
30133.0,1.0,3.0,BOX ELDER,96630.0
30134.0,1.0,3.0,BOX ELDER,96630.0
30136.0,1.0,3.0,BOX ELDER,107031.0
30137.0,1.0,3.0,BOX ELDER,96630.0
30138.0,1.0,3.0,BOX ELDER,96630.0
30139.0,1.0,3.0,BOX ELDER,107031.0
30140.0,1.0,3.0,BOX ELDER,96630.0
30141.0,1.0,3.0,BOX ELDER,96630.0
30142.0,1.0,3.0,BOX ELDER,96630.0
30143.0,1.0,3.0,BOX ELDER,96630.0
30144.0,1.0,3.0,BOX ELDER,96630.0
30145.0,1.0,3.0,BOX ELDER,88993.0
30146.0,1.0,3.0,BOX ELDER,89489.0
30147.0,1.0,3.0,BOX ELDER,133370.0
30148.0,1.0,3.0,BOX ELDER,89489.0
30149.0,1.0,3.0,BOX ELDER,133370.0
30150.0,1.0,3.0,BOX ELDER,131799.0
30151.0,1.0,3.0,BOX ELDER,133370.0
30152.0,1.0,3.0,BOX ELDER,108677.0
110001.0,1.0,11.0,DAVIS,120568.0
110002.0,1.0,11.0,DAVIS,120568.0
110003.0,1.0,11.0,DAVIS,133214.0
110004.0,1.0,11.0,DAVIS,133214.0
110005.0,1.0,11.0,DAVIS,120568.0
110006.0,1.0,11.0,DAVIS,133214.0
110007.0,1.0,11.0,DAVIS,105039.0
110008.0,1.0,11.0,DAVIS,133214.0
110009.0,1.0,11.0,DAVIS,109653.0
110010.0,1.0,11.0,DAVIS,103026.0
110011.0,1.0,11.0,DAVIS,120568.0
110012.0,1.0,11.0,DAVIS,119218.0
110013.0,1.0,11.0,DAVIS,118269.0
110014.0,1.0,11.0,DAVIS,118023.0
110015.0,1.0,11.0,DAVIS,94438.0
110016.0,1.0,11.0,DAVIS,120568.0
110017.0,1.0,11.0,DAVIS,120568.0
110018.0,1.0,11.0,DAVIS,164131.0
110019.0,1.0,11.0,DAVIS,167850.0
110020.0,1.0,11.0,DAVIS,112994.0
110021.0,1.0,11.0,DAVIS,143438.0
110022.0,1.0,11.0,DAVIS,133214.0
110023.0,1.0,11.0,DAVIS,138661.0
110024.0,1.0,11.0,DAVIS,99196.0
110025.0,1.0,11.0,DAVIS,99196.0
110026.0,1.0,11.0,DAVIS,73462.0
110027.0,1.0,11.0,DAVIS,133214.0
110028.0,1.0,11.0,DAVIS,136373.0
110029.0,1.0,11.0,DAVIS,99196.0
110030.0,1.0,11.0,DAVIS,99196.0
110031.0,1.0,11.0,DAVIS,108015.0
110032.0,1.0,11.0,DAVIS,103026.0
110033.0,1.0,11.0,DAVIS,98408.0
110034.0,1.0,11.0,DAVIS,100750.0
110035.0,1.0,11.0,DAVIS,100750.0
110036.0,1.0,11.0,DAVIS,115550.0
110037.0,1.0,11.0,DAVIS,111964.0
110038.0,1.0,11.0,DAVIS,154167.0
110039.0,1.0,11.0,DAVIS,154167.0
110040.0,1.0,11.0,DAVIS,84375.0
110041.0,1.0,11.0,DAVIS,68125.0
110042.0,1.0,11.0,DAVIS,234799.0
110043.0,1.0,11.0,DAVIS,75469.0
110044.0,1.0,11.0,DAVIS,80156.0
110045.0,1.0,11.0,DAVIS,300000.0
110046.0,1.0,11.0,DAVIS,77083.0
110047.0,1.0,11.0,DAVIS,220764.0
110048.0,1.0,11.0,DAVIS,278215.0
110049.0,1.0,11.0,DAVIS,300000.0
110050.0,1.0,11.0,DAVIS,300000.0
110051.0,1.0,11.0,DAVIS,67031.0
110052.0,1.0,11.0,DAVIS,68649.0
110053.0,1.0,11.0,DAVIS,300000.0
110054.0,1.0,11.0,DAVIS,122417.0
110055.0,1.0,11.0,DAVIS,122417.0
110056.0,1.0,11.0,DAVIS,111784.0
110057.0,1.0,11.0,DAVIS,134180.0
110058.0,1.0,11.0,DAVIS,109464.0
110059.0,1.0,11.0,DAVIS,178494.0
110060.0,1.0,11.0,DAVIS,178494.0
110061.0,1.0,11.0,DAVIS,178494.0
110062.0,1.0,11.0,DAVIS,94542.0
110063.0,1.0,11.0,DAVIS,95775.0
110064.0,1.0,11.0,DAVIS,70559.0
110065.0,1.0,11.0,DAVIS,52317.0
110066.0,1.0,11.0,DAVIS,117949.0
110067.0,1.0,11.0,DAVIS,95053.0
110068.0,1.0,11.0,DAVIS,111656.0
110069.0,1.0,11.0,DAVIS,111656.0
110070.0,1.0,11.0,DAVIS,105646.0
110071.0,1.0,11.0,DAVIS,106689.0
110072.0,1.0,11.0,DAVIS,65746.0
110073.0,1.0,11.0,DAVIS,72458.0
110074.0,1.0,11.0,DAVIS,82731.0
110075.0,1.0,11.0,DAVIS,124043.0
110076.0,1.0,11.0,DAVIS,93625.0
110077.0,1.0,11.0,DAVIS,65708.0
110078.0,1.0,11.0,DAVIS,54636.0
110079.0,1.0,11.0,DAVIS,56032.0
