SUBAREAID,Model Space,MedInc,HH23
0,UDOT,80317,111853.0
1,Wasatch Front,101132,826549.0
2,Cache,82460,43043.0
3,Dixie,81171,66865.0
4,Summit-Wasatch,135154,26428.0
5,Iron,68317,19632.0
